departure_date,price,airline,start_airport,end_airport,start_end_time,duration,fly_score
20200302,$99,"EWR - LAX, United",EWR,LAX,3:00 PM - 6:05 PM,6h 5m,FlyScore 8.2
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,5:35 AM - 8:53 AM,6h 18m,
20200302,$99,"EWR - LAX, United",EWR,LAX,8:00 PM - 11:22 PM,6h 22m,FlyScore 7.9
20200302,$99,"EWR - LAX, United",EWR,LAX,4:00 PM - 7:23 PM,6h 23m,FlyScore 7.9
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,12:00 PM - 3:25 PM,6h 25m,
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,10:40 PM - 2:05 AM+1,6h 25m,
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,4:00 PM - 7:27 PM,6h 27m,
20200302,$99,"EWR - LAX, United",EWR,LAX,5:00 PM - 8:28 PM,6h 28m,FlyScore 7.9
20200302,$99,"EWR - LAX, United",EWR,LAX,6:00 PM - 9:29 PM,6h 29m,FlyScore 7.9
20200302,$99,"JFK - LAX, American",JFK,LAX,9:30 PM - 12:59 AM+1,6h 29m,FlyScore 7.9
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,9:30 PM - 1:01 AM+1,6h 31m,
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,5:30 PM - 9:02 PM,6h 32m,
20200302,$99,"JFK - LAX, JetBlue",JFK,LAX,7:31 PM - 11:06 PM,6h 35m,
20200302,$99,"EWR - LAX, Alaska",EWR,LAX,7:30 AM - 11:15 AM,6h 45m,FlyScore 8.2
20200302,$99,"EWR - LAX, Alaska",EWR,LAX,4:00 PM - 7:49 PM,6h 49m,FlyScore 8.2
20200302,$99,"EWR - LAX, Alaska",EWR,LAX,7:20 PM - 11:09 PM,6h 49m,FlyScore 8.2
20200302,$99,"JFK - LAX, Alaska",JFK,LAX,7:30 AM - 11:20 AM,6h 50m,FlyScore 8.2
20200302,$99,"JFK - LAX, Alaska",JFK,LAX,11:30 AM - 3:20 PM,6h 50m,FlyScore 8.2
20200302,$99,"JFK - LAX, Alaska",JFK,LAX,1:05 PM - 4:55 PM,6h 50m,FlyScore 8.2
20200302,$99,"JFK - LAX, Alaska",JFK,LAX,5:25 PM - 9:20 PM,6h 55m,FlyScore 8.2
20200302,$99,"JFK - LAX, Alaska",JFK,LAX,7:20 PM - 11:15 PM,6h 55m,FlyScore 8.3
20200302,$134,"JFK - LAX, American",JFK,LAX,7:30 PM - 11:13 PM,6h 43m,FlyScore 7.9
20200302,$149,"EWR - LAX, United",EWR,LAX,7:00 AM - 10:08 AM,6h 8m,FlyScore 8.2
20200302,$149,"EWR - LAX, United",EWR,LAX,1:00 PM - 4:20 PM,6h 20m,FlyScore 7.9
20200302,$154,"JFK - LAX, JetBlue",JFK,LAX,9:59 AM - 1:23 PM,6h 24m,
20200302,$154,"JFK - LAX, American",JFK,LAX,7:30 AM - 11:05 AM,6h 35m,FlyScore 7.9
20200302,$154,"JFK - LAX, American",JFK,LAX,6:30 PM - 10:05 PM,6h 35m,FlyScore 7.9
20200302,$154,"JFK - LAX, American",JFK,LAX,8:30 PM - 12:09 AM+1,6h 39m,FlyScore 7.9
20200302,$154,"JFK - LAX, American",JFK,LAX,6:00 AM - 9:40 AM,6h 40m,FlyScore 7.9
20200302,$174,"EWR - LAX, United",EWR,LAX,8:29 AM - 11:48 AM,6h 19m,FlyScore 5.9
20200302,$189,"JFK - LAX, American",JFK,LAX,5:00 PM - 8:35 PM,6h 35m,FlyScore 7.9
20200302,$232,"JFK - LAX, American",JFK,LAX,2:30 PM - 5:59 PM,6h 29m,FlyScore 7.9
20200302,$232,"JFK - LAX, American",JFK,LAX,9:00 AM - 12:40 PM,6h 40m,FlyScore 7.9
20200302,$244,"EWR - LAX, United",EWR,LAX,10:00 AM - 1:36 PM,6h 36m,FlyScore 7.9
20200302,$279,"JFK - LAX, American",JFK,LAX,11:00 AM - 2:30 PM,6h 30m,FlyScore 7.9
20200302,$279,"JFK - LAX, American",JFK,LAX,12:30 PM - 4:03 PM,6h 33m,FlyScore 7.9
20200302,$63,"LGA - ORD, Spirit",LGA,ORD,8:35 AM - 10:25 AM,2h 50m,FlyScore 6.5
20200302,$89,"EWR - ORD, United",EWR,ORD,8:30 PM - 10:08 PM,2h 38m,FlyScore 7.6
20200302,$89,"LGA - ORD, United",LGA,ORD,6:00 AM - 7:40 AM,2h 40m,FlyScore 7.6
20200302,$89,"LGA - ORD, United",LGA,ORD,7:00 AM - 8:40 AM,2h 40m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,9:00 AM - 10:42 AM,2h 42m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,11:00 AM - 12:43 PM,2h 43m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,10:00 AM - 11:44 AM,2h 44m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,12:00 PM - 1:44 PM,2h 44m,FlyScore 7.6
20200302,$89,"LGA - ORD, United",LGA,ORD,8:00 PM - 9:46 PM,2h 46m,FlyScore 7.1
20200302,$89,"EWR - ORD, United",EWR,ORD,5:45 PM - 7:32 PM,2h 47m,FlyScore 8.1
20200302,$89,"LGA - ORD, United",LGA,ORD,1:00 PM - 2:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,2:00 PM - 3:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,4:00 PM - 5:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,6:00 PM - 7:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,7:00 PM - 8:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"LGA - ORD, United",LGA,ORD,9:00 PM - 10:49 PM,2h 49m,FlyScore 7.1
20200302,$89,"EWR - ORD, United",EWR,ORD,6:30 PM - 8:23 PM,2h 53m,FlyScore 7.6
20200302,$89,"LGA - ORD, American",LGA,ORD,6:30 AM - 8:24 AM,2h 54m,FlyScore 7.0
20200302,$89,"LGA - ORD, United",LGA,ORD,4:30 PM - 6:25 PM,2h 55m,
20200302,$89,"EWR - ORD, American",EWR,ORD,5:37 PM - 7:32 PM,2h 55m,FlyScore 7.2
20200302,$89,"LGA - ORD, American",LGA,ORD,1:30 PM - 3:26 PM,2h 56m,FlyScore 5.9
20200302,$89,"LGA - ORD, American",LGA,ORD,8:30 PM - 10:27 PM,2h 57m,FlyScore 5.9
20200302,$89,"LGA - ORD, American",LGA,ORD,2:30 PM - 4:29 PM,2h 59m,FlyScore 7.0
20200302,$89,"LGA - ORD, American",LGA,ORD,10:00 PM - 11:59 PM,2h 59m,FlyScore 6.4
20200302,$89,"LGA - ORD, American",LGA,ORD,7:30 AM - 9:31 AM,3h 1m,FlyScore 6.4
20200302,$89,"LGA - ORD, American",LGA,ORD,12:30 PM - 2:33 PM,3h 3m,FlyScore 7.0
20200302,$89,"LGA - ORD, American",LGA,ORD,8:30 AM - 10:35 AM,3h 5m,FlyScore 6.4
20200302,$89,"LGA - ORD, American",LGA,ORD,6:30 PM - 8:38 PM,3h 8m,FlyScore 6.4
20200302,$89,"LGA - ORD, American",LGA,ORD,4:30 PM - 6:39 PM,3h 9m,FlyScore 6.4
20200302,$89,"LGA - ORD, American",LGA,ORD,5:30 PM - 7:39 PM,3h 9m,FlyScore 6.4
20200302,$89,"JFK - ORD, American",JFK,ORD,3:59 PM - 6:12 PM,3h 13m,FlyScore 6.4
20200302,$99,"JFK - ORD, JetBlue",JFK,ORD,7:47 AM - 9:38 AM,2h 51m,FlyScore 8.1
20200302,$99,"JFK - ORD, JetBlue",JFK,ORD,3:59 PM - 5:56 PM,2h 57m,FlyScore 8.1
20200302,$109,"EWR - ORD, United",EWR,ORD,5:15 AM - 6:56 AM,2h 41m,FlyScore 7.6
20200302,$106,"LGA - ORD, American",LGA,ORD,9:30 AM - 11:38 AM,3h 8m,FlyScore 6.4
20200302,$119,"LGA - ORD, United",LGA,ORD,5:00 PM - 6:57 PM,2h 57m,
