departure_date,price,airline,start_airport,end_airport,start_end_time,duration,fly_score
20200510,$132,"EWR - LAX, United",EWR,LAX,7:00 AM - 9:50 AM,5h 50m,FlyScore 8.2
20200510,$132,"EWR - LAX, Alaska",EWR,LAX,8:00 AM - 11:10 AM,6h 10m,FlyScore 8.3
20200510,$134,"JFK - LAX, JetBlue",JFK,LAX,5:34 AM - 8:39 AM,6h 5m,
20200510,$134,"JFK - LAX, JetBlue",JFK,LAX,6:58 AM - 10:06 AM,6h 8m,
20200510,$134,"JFK - LAX, Alaska",JFK,LAX,7:25 AM - 10:35 AM,6h 10m,FlyScore 8.2
20200510,$152,"EWR - LAX, United",EWR,LAX,9:00 AM - 12:04 PM,6h 4m,FlyScore 5.9
20200510,$154,"JFK - LAX, JetBlue",JFK,LAX,9:59 AM - 1:17 PM,6h 18m,
20200510,$154,"JFK - LAX, Alaska",JFK,LAX,7:20 PM - 10:39 PM,6h 19m,FlyScore 8.2
20200510,$154,"JFK - LAX, JetBlue",JFK,LAX,9:30 PM - 12:51 AM+1,6h 21m,
20200510,$154,"JFK - LAX, JetBlue",JFK,LAX,5:40 PM - 9:06 PM,6h 26m,
20200510,$154,"JFK - LAX, JetBlue",JFK,LAX,7:45 PM - 11:21 PM,6h 36m,
20200510,$169,"JFK - LAX, JetBlue",JFK,LAX,11:10 AM - 2:18 PM,6h 8m,
20200510,$169,"JFK - LAX, JetBlue",JFK,LAX,3:59 PM - 7:22 PM,6h 23m,
20200510,$174,"EWR - LAX, Alaska",EWR,LAX,4:00 PM - 7:10 PM,6h 10m,FlyScore 8.2
20200510,$174,"EWR - LAX, United",EWR,LAX,5:00 PM - 8:19 PM,6h 19m,FlyScore 7.9
20200510,$174,"EWR - LAX, United",EWR,LAX,7:00 PM - 10:19 PM,6h 19m,FlyScore 7.9
20200510,$179,"JFK - LAX, Alaska",JFK,LAX,11:30 AM - 2:45 PM,6h 15m,FlyScore 8.3
20200510,$179,"JFK - LAX, Alaska",JFK,LAX,4:55 PM - 8:15 PM,6h 20m,FlyScore 8.2
20200510,$189,"JFK - LAX, American",JFK,LAX,6:00 AM - 9:07 AM,6h 7m,FlyScore 7.9
20200510,$189,"JFK - LAX, American",JFK,LAX,8:00 AM - 11:12 AM,6h 12m,FlyScore 7.9
20200510,$189,"JFK - LAX, American",JFK,LAX,7:00 AM - 10:13 AM,6h 13m,FlyScore 7.9
20200510,$189,"JFK - LAX, American",JFK,LAX,8:15 PM - 11:43 PM,6h 28m,FlyScore 7.9
20200510,$199,"JFK - LAX, JetBlue",JFK,LAX,1:59 PM - 5:11 PM,6h 12m,
20200510,$217,"EWR - LAX, United",EWR,LAX,3:00 PM - 5:56 PM,5h 56m,FlyScore 8.2
20200510,$219,"EWR - LAX, Alaska",EWR,LAX,6:50 PM - 10:00 PM,6h 10m,FlyScore 8.2
20200510,$232,"JFK - LAX, American",JFK,LAX,11:00 AM - 2:12 PM,6h 12m,FlyScore 7.9
20200510,$244,"EWR - LAX, United",EWR,LAX,10:00 AM - 1:11 PM,6h 11m,FlyScore 7.9
20200510,$244,"EWR - LAX, United",EWR,LAX,8:00 PM - 11:11 PM,6h 11m,FlyScore 7.9
20200510,$279,"JFK - LAX, American",JFK,LAX,12:00 PM - 3:13 PM,6h 13m,FlyScore 7.9
20200510,$279,"JFK - LAX, American",JFK,LAX,2:30 PM - 5:44 PM,6h 14m,FlyScore 7.9
20200510,$279,"JFK - LAX, American",JFK,LAX,10:00 AM - 1:18 PM,6h 18m,FlyScore 7.9
20200510,$279,"JFK - LAX, American",JFK,LAX,6:00 PM - 9:33 PM,6h 33m,FlyScore 7.9
20200510,$319,"EWR - LAX, United",EWR,LAX,11:00 AM - 2:05 PM,6h 5m,FlyScore 7.9
20200510,$319,"EWR - LAX, United",EWR,LAX,1:00 PM - 4:05 PM,6h 5m,FlyScore 7.9
20200510,$319,"EWR - LAX, United",EWR,LAX,4:00 PM - 7:11 PM,6h 11m,FlyScore 7.9
20200510,$346,"JFK - LAX, American",JFK,LAX,3:30 PM - 6:57 PM,6h 27m,FlyScore 7.9
20200510,$346,"JFK - LAX, American",JFK,LAX,5:00 PM - 8:30 PM,6h 30m,FlyScore 7.9
20200510,$354,"EWR - LAX, United",EWR,LAX,6:00 PM - 9:19 PM,6h 19m,FlyScore 7.9
20200510,$81,"EWR - ORD, American",EWR,ORD,6:00 AM - 7:26 AM,2h 26m,FlyScore 6.4
20200510,$89,"LGA - ORD, United",LGA,ORD,7:00 AM - 8:35 AM,2h 35m,FlyScore 7.1
20200510,$89,"EWR - ORD, United",EWR,ORD,7:35 AM - 9:10 AM,2h 35m,FlyScore 7.6
20200510,$89,"LGA - ORD, United",LGA,ORD,8:00 AM - 9:35 AM,2h 35m,FlyScore 7.6
20200510,$89,"LGA - ORD, American",LGA,ORD,7:30 AM - 9:15 AM,2h 45m,FlyScore 6.4
20200510,$89,"LGA - ORD, American",LGA,ORD,8:30 AM - 10:15 AM,2h 45m,FlyScore 6.4
20200510,$89,"JFK - ORD, American",JFK,ORD,7:59 AM - 9:57 AM,2h 58m,FlyScore 6.4
20200510,$107,"LGA - ORD, Spirit",LGA,ORD,9:50 AM - 11:21 AM,2h 31m,FlyScore 6.5
20200510,$109,"EWR - ORD, American",EWR,ORD,9:30 AM - 10:56 AM,2h 26m,FlyScore 6.4
20200510,$109,"EWR - ORD, American",EWR,ORD,7:10 AM - 8:46 AM,2h 36m,FlyScore 6.4
20200510,$109,"EWR - ORD, United",EWR,ORD,8:42 AM - 10:32 AM,2h 50m,FlyScore 7.6
