price,airline,start_airport,start_end_time,duration,stop_type,fly_score
$444,"EWR - LAX, United",EWR,3:00 PM - 6:03 PM,6h 3m,Nonstop,FlyScore 8.2
$444,"EWR - LAX, United",EWR,1:00 PM - 4:19 PM,6h 19m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,8:30 AM - 11:50 AM,6h 20m,Nonstop,FlyScore 5.9
$444,"EWR - LAX, United",EWR,7:00 PM - 10:28 PM,6h 28m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,6:00 PM - 9:29 PM,6h 29m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,7:00 AM - 10:31 AM,6h 31m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, Alaska",EWR,7:20 PM - 10:53 PM,6h 33m,Nonstop,FlyScore 8.3
$449,"JFK - LAX, JetBlue",JFK,5:40 AM - 9:06 AM,6h 26m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, Alaska",EWR,7:20 PM - 10:53 PM,6h 33m,Nonstop,FlyScore 8.3
$449,"JFK - LAX, JetBlue",JFK,5:40 AM - 9:06 AM,6h 26m,Nonstop,NaN
$449,"JFK - LAX, American",JFK,2:30 PM - 5:56 PM,6h 26m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,8:30 PM - 11:59 PM,6h 29m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,9:30 PM - 1:00 AM+1,6h 30m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, JetBlue",JFK,6:55 AM - 10:26 AM,6h 31m,Nonstop,NaN
$444,"EWR - LAX, United",EWR,1:00 PM - 4:19 PM,6h 19m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,8:30 AM - 11:50 AM,6h 20m,Nonstop,FlyScore 5.9
$444,"EWR - LAX, United",EWR,7:00 PM - 10:28 PM,6h 28m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,6:00 PM - 9:29 PM,6h 29m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, United",EWR,7:00 AM - 10:31 AM,6h 31m,Nonstop,FlyScore 7.9
$444,"EWR - LAX, Alaska",EWR,7:20 PM - 10:53 PM,6h 33m,Nonstop,FlyScore 8.3
$449,"JFK - LAX, JetBlue",JFK,5:40 AM - 9:06 AM,6h 26m,Nonstop,NaN
$449,"JFK - LAX, American",JFK,2:30 PM - 5:56 PM,6h 26m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,8:30 PM - 11:59 PM,6h 29m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,12:30 PM - 4:00 PM,6h 30m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,9:30 PM - 1:00 AM+1,6h 30m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, JetBlue",JFK,6:55 AM - 10:26 AM,6h 31m,Nonstop,NaN
$449,"JFK - LAX, JetBlue",JFK,5:35 PM - 9:06 PM,6h 31m,Nonstop,NaN
$449,"JFK - LAX, American",JFK,6:00 AM - 9:32 AM,6h 32m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, JetBlue",JFK,4:30 PM - 8:02 PM,6h 32m,Nonstop,NaN
$449,"JFK - LAX, JetBlue",JFK,7:29 PM - 11:02 PM,6h 33m,Nonstop,NaN
$449,"JFK - LAX, American",JFK,7:30 AM - 11:04 AM,6h 34m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, JetBlue",JFK,9:15 PM - 12:49 AM+1,6h 34m,Nonstop,NaN
$449,"JFK - LAX, JetBlue",JFK,8:29 AM - 12:04 PM,6h 35m,Nonstop,NaN
$449,"JFK - LAX, American",JFK,5:00 PM - 8:38 PM,6h 38m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,9:00 AM - 12:39 PM,6h 39m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, American",JFK,6:30 PM - 10:09 PM,6h 39m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, Alaska",JFK,5:25 PM - 9:05 PM,6h 40m,Nonstop,FlyScore 8.4
$449,"JFK - LAX, American",JFK,7:30 PM - 11:10 PM,6h 40m,Nonstop,FlyScore 7.9
$449,"JFK - LAX, Alaska",JFK,11:30 AM - 3:11 PM,6h 41m,Nonstop,FlyScore 8.3
$449,"JFK - LAX, Alaska",JFK,1:05 PM - 4:46 PM,6h 41m,Nonstop,FlyScore 8.2
$449,"JFK - LAX, Alaska",JFK,7:20 PM - 11:05 PM,6h 45m,Nonstop,FlyScore 8.2
$302,"EWR - LAX, Spirit",EWR,11:45 AM - 5:45 PM,9h 0m,"1 stop, IAH",NaN
